S_No,PLR #,Year,Date,Incident,Status,Machine,Priority,Responsible Department,,,
89,120,2021,18-May-21,"On May 18, 2021, surge/ heavy disturbance observed in KE Grid causing variation in electrical parameter (Current, Voltage, Frequency, etc) and subsequent disturbance also occurred on STG # 04 resulting in tripping of machine at 0349 hrs on V/Hz over-flux protection (24) actuation on G-60 generator protection.",Closed,STG#4,High,KE / Electrical,,,
90,121,2021,22-May-21,"i. On May 22, 2021, 02 x 220 KV high tension lines of K-Electric i.e NKIBaldia 01 & 02 were tripped which affected 45 grid stations across Karachi.
 ii. Disturbance in KE grid caused variation in electrical parameter (Current,Voltage, Frequency, etc) and zero voltage in Dhabeji & BOC lines.
 iii. FPCL 132 KV breaker opened on transformer over current protection resulting in tripping of STG # 04 at 1327 hrs.",Closed,STG#4,High,KE / Electrical,,,
91,122,2021,23-May-21,"Disturbance in KE network caused load fluctuation on STG # 04 load (Max. 64.13 & Min. 49.92 MW). Afterwards, 86 G1 breaker opening on over frequency protection & subsequent tripping of machine on over-voltage (59 P) G-60 generator protection due to AVR not controlling the voltage after breaker opening.",closed,STG#4,High,KE / Electrical,,,
92,123,2021,3-Jul-21,"STG # 04 was shut-down at 1721 hrs to attend high temperature problem at flexible joints of 11 KV transformer. After rectification, machine started at 2128 hrs, synchronized at 2152 hrs and reached full load at 2319 hrs.",Closed,STG#4,High,Elect.,,,
93,124,2021,10-Jul-21,Voltage loss on Dhabeji & BOC lines resulted in 52 G breaker opening and machine shifted to FSNL. After voltage restoration & KE go-ahead machine was synchronized.,Closed,STG#4,Low,KE,,,
94,125,2021,11-Jul-21,Voltage loss on Dhabeji & BOC lines resulted in 52 G breaker opening and machine shifted to FSNL. After voltage restoration & KE go-ahead machine was synchronized.,Closed,STG#4,Low,KE,,,
95,126,2021,12-Jul-21,Voltage loss on Dhabeji & BOC lines resulted in 52 G breaker opening and machine shifted to FSNL. After voltage restoration & KE go-ahead machine was synchronized.,Closed,STG#4,Low,KE,,,
96,127,2021,12-Jul-21,Voltage loss on Dhabeji & BOC lines resulted in 52 G breaker opening and machine shifted to FSNL. After voltage restoration & KE go-ahead machine was synchronized.,Closed,STG#4,Low,KE,,,
97,128,2021,18-Jul-21,STG # 04 Load reduction as per KE demand & Load increased after KE go-ahead,Closed,STG#4,Low,KE,,,
98,129,2021,19-Jul-21,Boiler # 02 tripping on VFD failure resulting in tripping of STG # 04 & Urea plant as per logic,Open,B#2,High,Elect.,,,
99,130,2021,23-Jul-21,Boiler # 02 manual stoppage for ID fan start-up on VFD mode instead of by-pas mode. STG # 04 load reduction & stopped due to Boiler SD.,Open,B#2,Low,Elect.,,,
100,131,2021,9-Aug-21,"STG # 04 was stopped to attend high temperature problem of 11KV transformer joints
 
 (same as PLR # 123)",Closed,STG#4,High,KE,,,
101,132,2021,31-Aug-21,STG # 04 load was reduced as per KE instructions,Closed,STG#4,Low,KE,,,
102,133,2021,1-Sep-21,STG # 04 breaker opening due to KE network issues (500 KV Jamshoro line tripping).,Closed,STG#4,Low,KE,,,
103,134,2021,7-Sep-21,Outage of Boiler # 1 to attend tube leakage and accordingly shutdown of STG # 4 suspension of power export to KE along with reduction in Steam and Power export to FFBL.,Closed,B#1,High,Mech / Insp,,,
104,135,2021,20-Sep-21,Total Power Failure,Closed,Total Power Failure ,High,-,,,
105,136,2021,1-Oct-21,"Tripping of all 04 coal feeders and hanging of MOVs at 03:03:57 hrs, subsequently at 0308 hrs, CFB Boiler-01 Master Fuel Trip (MFT) was applied, as a result Urea plant and STG-04 shutdown as per logic.",Closed,B#1,High,E&I,,,
106,137,2021,3-Oct-21,STG # 04 Low Load as per KE instructions,Closed,STG#4,Low,KE,,,
107,138,2021,5-Oct-21,"Tripping of all 04 coal feeders and hanging of MOVs at 23:41:50 hrs, subsequently at 2342 hrs, CFB Boiler-01 Master Fuel Trip (MFT) was applied, as a result Urea plant and STG-04 shutdown as per logic.",Closed,B#1,High,E&I,,,
108,139,2021,15-Oct-21,STG # 04 Low Load as per KE instructions,Closed,STG#4,Low,KE,,,
109,140,2021,16-Oct-21,STG # 04 Low Load as per KE instructions,Closed,STG#4,Low,KE,,,
110,141,2021,17-Oct-21,STG # 04 Low Load as per KE instructions,Closed,STG#4,Low,KE,,,
111,142,2021,17-Oct-21,Boiler # 01 Tripping due to communication card failure in PCS-01 martelling cabinet of DCS.,Closed,B#1,High,E&I,,,
112,143,2021,18-Oct-21,STG # 04 Low Load as per KE instructions,Closed,STG#4,Low,KE,,,
113,144,2021,19-Oct-21,STG # 04 Low Load as per KE instructions,Closed,STG#4,Low,KE,,,
114,145,2021,Nov-21,STG # 04 Low Load as per KE instructions (Nov-21),Closed,STG#4,Low,KE,,,
115,146,2021,Dec-21,STG # 04 Low Load as per KE instructions (Dec-21),Closed,STG#4,Low,KE,,,
116,147,2021,28-Dec-21,Boiler # 02 Outage to attend tube leakage in furnace front wall,Closed,B#2,High,Construction Contractor,,,
117,94,2020,"01-Jan-20 
 to 
 31-Jan-20",Lower Steam and Power exports to FFBL and KE as compared to approved production plan in the month of January 2020.,Closed,Low Load,Nil,FFBL,,,
118,95,2020,4-Mar-20,"STG-4 BOC line tripping on distance protection relay and afterwards load reduction owing to fault identification and provision of jumper / by-pass line to energize the BOC line from Dhabeji Line by-pass till the fault rectification from
 FPCL grid.
 After by-pass jumper, KE didn’t give go ahead for machine start-up resulted in 15.8 hrs loss out of total 25.9 hrs shutdown.",Open,STG#4,Critical,KE / Electrical,,,
119,96,2020,"01-Feb-20 
 to 
 29-Feb-20","Lower Power export off-take by FFBL as compared to approved production plan in
 the month of Feb 2020 and operation of PRDS line for steam export to FFBL.",Closed,Low Load,Nil,FFBL,,,
120,97,2020,"01-Mar-20 
 to 
 31-Mar-20",Low power and steam off-take by FFBL as per FFBL complex demand.,Closed,Low Load,Nil,FFBL,,,
121,98,2020,"01-Apr-20 
 to 
 30-Apr-20",Low power and steam off-take by FFBL as per FFBL complex demand.,Closed,Low Load,Nil,FFBL,,,
122,99,2020,12-May-20,"STG-1 tripped at 0516 hrs due to malfunction of S2 Safety Relay, After replacement of Safety Relay the Machine started at 0750 hrs and synchronized at 0808 hrs.",Closed,STG#1,Critical,E&I,,,
123,100,2020,"01-May-20 
 to 
 31-May-20",STG-4 Load reduction as per KE demand.,Closed,STG#4,Low,KE,,,
124,101,2020,20-May-20,"STG-04, Tripped at 0215 hrs on ""Overspeed Distance relay protection"" due to Fault in KE network, After rectification the machine started at 0410 hrs and synchronized at 0436 hrs. Again machine was stopped 0524 hrs due to same fault. After go ahead from KE the Machine started at 0648 hrs, synchronized at 0718 hrs and reached full load at 0842 hrs.",Closed,STG#4,Critical,E&I,,,
125,102,2020,21-Jun-20,"STG-04, Breaker Opened at 0822 hrs & Machine stopped 0823 hrs due to gas replacement (rectification job) on E-01& E-02 Bay on KE Grid (FPCL-Side). 
 
 After gas replacement (rectification job) on E-01& E-02 Bay , the Machine started on 22nd July 2020 at 0947 hrs, synchronized at 1012 hrs & reached full load at 1137 hrs.",Open,STG#4,Critical,E&I,,,
126,103,2020,26-Jul-20,"On July 26 during raining, KE requested to reduce load on STG # 04 owing to reduced demand owing to feeders tripping at their end. Accordingly, the load on
 machine was reduced to 26.2 MW at 1320 hrs however at the same time, line voltage became zero and machine tripped.
 After go ahead from KE machine started at 1432 hrs and synchronized at 1457 hrs. The power load on machine was started to increase at 1653 hrs after KE go
 ahead and full load i.e. 55 MW was reached at 1719 hrs.",Closed,STG#4,Low,KE/ E&I,,,
127,104,2020,27-Aug-20,"Tripping of 03 coal feeders of Boiler # 01 due to high moisture in coal owing to heavy rain and non –availability of sufficient mechanical crew to attend the feeders de-choking activities.
 As a result, following actions were taken
 - Gas Turbine was taken in service at FFBL at 0913 hrs
 - Natural Gas burners were also ignited in Boiler # 01.
 - Load on STG # 04 reduced to minimum 14.2 MW
 After rectification of coal feeders cleaning, GT was taken out of service at 1257 hrs & STG # 04 load was increased to full load at 1330hrs",Closed,B#1,High,Mechanical / Operations,,,
128,105,2020,27-Aug-20,STG # 04 load reduction as per KE request owing to tripping of various KE feeders due to heavy rain in Karachi city,Closed,STG#4,Nil,KE,,,
129,106,2020,29-Aug-20,Opening of STG # 04 breaker (52 G) on over-frequency protection (81OP) due to disturbance in KE network owing to flash in KE Dhabeji line resulted in distance relay actuation. Machine remained on FSNL,Closed,STG#4,High,KE,,,
130,107,2020,11-Sep-20,Tripping of STG # 4 machine on Over-flux (Volts/Hz) security (24) due to frequency and current variations / disturbance in KE network. No over speed observed,Open,STG#4,Critical,E&I,,,
131,108,2020,13-Sep-20,"STG # 04 breaker opened and machine went on FSNL due to disturbance in KE network at 0124 hrs. Generator lockout relay 86G-1 operated and turbine shifted to speed mode and remained at FSNL. Thermal overload and OF alarm were also appeared.
 
 After go ahead from KE,machine re-synchronized at 0145 hrs.",Closed,STG#4,High,KE,,,
